"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Anokha Jungle","Hindi","","","","B-17833","","U","","","","","[Red No. VIII] The picturbation of the dancing girl taking her blouse and then drawing them away, when she sings the line, 'Pilo vah Damions' and of nearly exposed when she repeats these words (1.83 m) || [Red No. VIII] Mantri’s remarks to Jeeta, 'Bhatakta hua raid it Rahi bill pahtmeh yajeata hai, gala men am mehel men bhi' (3.05 m) || [Red No. X] The remark 'Chain kapade utaro' during the fight between Pralcanh’s party and the tribal (0.61 m)","[Reel No. IV] The dagger fight between Pralcanh and Wuku champion (2.44 m) (retained: 11.58 m) || [Reetu Non. VI and VII] Fights between man and human mongoose and wild lizard, and man and leopard, omitting the shots of directed plundering of the leopard in the last scene (6.1 m) (retained: 15.24 m) || [Reel No. X] Wuku Chief pats his foot on the client of Bakabu (2.44 m) (retained: 1.83 m) || [Reel No. XI] The scenes of Geeta, to open or twice only in such other scenes when she is pursued by wild beasts. Reduce the fight between Wakn and Bakabu chiefs omit completely the shots in which the woman places her foot on the chest of helpless, Reduce the fight (3.05 m) (retained: 3.05 m) || [Red No. XII] The last fight between Mihirbhan and Mantri’s men on one side and Pralcanh’s party and Bakabu and Wakn Chiefs and their men on the other, amidst the saidistic and Hinkler shouting and laughter of the Wakn chief during the fight, leaving only two or three well-separated shots not in very near (9.14 m) (retained: 18.29 m)","","","in.gazette.1957.342","1957-02-16T00:00:00Z","https://archive.org/details/in.gazette.1957.342"
"Trailer of “Anokha Jungle""","Hindi","","","","B-17834","","U","","","","","The very close views of Mahashakti in bathing costume without any upper covering properly covering the upper portion of her body (3.35 m)","","","","in.gazette.1957.342","1957-02-16T00:00:00Z","https://archive.org/details/in.gazette.1957.342"
"Dhake-Ki-Mahnal","Hindi","","","","18948","31-12-56","U","","","","","[X/7] the schooling of Indians by Europeans (5.79 m) || [X/7] the allot of Scaffold splashed with blood of hands of Jeeva that had been tied to it (3.96 m) || [X/7] Shouts of 'Bandematram' as a war cry for attacking and killing (Sound only) (3.35 m)","[IX] Stoning of Jeeva to a flash (7.32 m) (retained: 7.32 m) || [IX] Beating of Tiku to a flash (5.55 m) (retained: 5.55 m) || [XVII] Screaming of Mona for Jeeva (Sound) (2.74 m) (retained: 2.74 m) || [XVII] Shots of persons with their hands tied to a scaffold (15.54 m) (retained: 15.54 m)","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Port Afriqua","English","Colour","35 mm","","18953","2-1-57","U","","","","","[F] The assignation of Abdul having received bribe from Reardon and imparting to Reardon information about the file for Georgette's murder in the cabinet Police Chief (8.84 m) || [F] Drastic sequences of a nude model putting a wrap around her as soon as Reardon enters, then allowing it suggestively to slip, then allowing her thighs and later on when she goes out of the room, suggestively opening it wide from the front when her back is turned to the Painter, Reardon and the Camera (30.97 m)","","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Spin A Dark Web","English","","","","18957","2-1-57","U","","","","","[2-B] Shots of Bella sliding down on couch and Jim bending down to her and kissing passionately (3.87 m) || [3-A] Jim’s dialogue explaining operation of a phone line and switches for a bookie in the track (13.41 m) || [3-A] Shots of Jim at top of telephone pole attaching phone wire to line, and accompanying dialogue (10.36 m)","[3-B] Shot of Jim struggling on floor with Bella holding a gun in her hand (1.52 m) (retained: 0.91 m)","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Garama Garm","Hindi","","","","18961","3-1-57","U","","","","","[III] From Banke's dialogue, the words 'Phew Raj Kapoor!' (2.13 m) || [III] 'To Be Let Hai?' addressed to Asha (0.3 m) || [V] In the sequence where Asha goes to Banke and starts whispering in his ears, delete the last shots where the paper in Banke's hands is raised up to cover their faces rather suggestively (1.22 m) || [X] After Banwari knocks down Asha, picks her up on his shoulder and goes out, delete the shots near the staircase where Asha’s hips and legs are seen rather too prominently (1.22 m)","[X] The punches given by Banke to Banwari, as also Banwari’s rolling down a number of times as a result of repeated knockouts (9.14 m) (retained: 27.74 m)","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Ek-Jhalak","Hindi","","35 mm","","18966","3-1-57","U","","","","","[I] Mala’s dialogue to Shekhar where she asks him to meet her at 12 at night for elopement (13.72 m) || [VI] Pradeep’s dialogue, 'Kuchh Jama ya nahin Jama' (3.35 m) || [X] Shots where Pradeep invites Shobha to a bed spread in the jungle at night. All dialogues spoken by him at that time till he howls like a wolf. The dialogues where he asks her as to where she is going and however, be retained (15.54 m) || [X] All shots after Shobha rushes frightened to Pradeep, falls in his arms and their expressions are registered on solo close shots, till that dangerous wolves are abroad may the dream sequence. (23.47 m) || [XIII] The shot where Shobha and Pradeep are shown huddled together after the dream sequence (11.58 m) || [XIV] The word ‘East’ from the Janhag Boat (Sound only) (0 m) || [XIV] Shots when Shobha refers in the car to what passed at night (35.05 m) || [XV] Shot where Shobha encircles Pradeep’s neck with her arms when singing song No. V (3.05 m) || [XV] Gruesome direct hits (8.23 m) || [XV] Shobha’s following dialogues: 'Maine kapre nahin. badle' (Sound only) (0 m) || [XV] 'Var kiiicne Vale isso pahllehi var kar lengo' (1.22 m) || [XVII] Pradeep’s following dialogue, 'Gale parna to aapki ad at bei' (0.91 m)","[VI] Shots where Pradeep strikes the head of the goonda against the ground to once (0.91 m) (retained: 0.61 m) || [XV] Fighting scene in the ‘Bhutia Mahal’ to one-third (Footage included in cut No. 0) (0 m)","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Umar Marvi","Sindhi","","","","18991","9-1-57","U","","","","","The shot of African Dance (1.83 m) || The dialogue, 'Maan unajo maa saan shadi kayaii....Unaje khadansan ahadi kayan' (1.83 m)","","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"The Desperados Are In Town","English","","35 mm","","19008","19-1-57","U","","","","","[II] In the Saloon scene from the dialogue of the two women the words 'Next time you choose your size and your age' (2.07 m)","[IV] The sequence of gun battle between the gangsters and towns people to half (24.23 m) (retained: 24.54 m) || [VI] To a flash the scene in which Alice falls flat on her back in the cotton-field and Lonny closes in over her (6.1 m) (retained: 0.91 m) || [VIII] Considerably the scene in which Lonny is being throttled by Dock (3.35 m) (retained: 0.91 m)","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"Laxmi Narayan","Hindi","","","","18592","19-1-67","U","","","","","Scene showing the kidnapping of Bhuvan/Atohini by Indra (3.96 m)","","","","in.gazette.1957.345","1957-03-09T00:00:00Z","https://archive.org/details/in.gazette.1957.345"
"New Faces","English","Colour","Cinemascope","Edward L. Alperson, U.S.A.","19009","21-1-57","U","","","","","[UM Z] Shots in which Eartha Kitt in a striptease removes her dress. (4.572 m) || [In the] In the 'gitten room' sequence, shots of a girl exposing her thigh and slipping, and a shot of a male peeping. (5.1816 m) || [tied IV] In the song-dance sequence 'Love Is A Simple Thing', shots at the end of the first dance item showing the female dancer exposing her thighs and underwear. (0.9144 m) || [Red VIII] In the sequence where a performer narrates his 'African Safari', the words 'Sister on father's side' and shots showing pictures of African natives and their Chief. (9.144 m) || [Red IX] The Turkish song-dance item of Eartha Kitt is retained until she finishes her lines and starts receding towards the sofa. Subsequent shots showing her going to the sofa, showing her male secretary, and closing the curtain on herself. (10.058 m) || [Red XI] Shots in which Lizzie Borden wearing red stockings exhibits her underwear while dancing. (15.5448 m) || [Red XII] In Eartha Kitt’s song number 'Everyone gets into a dull routine', the lines 'The Kinsey Report was made, for me Aaqa Khan gave up being weighed for me' and 'The Qoa L L 0hianj Kai Sheh send me pots of tea Gaylord ITanser sends me Vitamin D'. (4.2672 m)","[(Voluntarily)] Penny Candy. (retained: 30.7848 m) || [(Voluntarily)] Tea For Two. (retained: 3.048 m)","[(Voluntarily)] Entire item with introduction 'Oedipus Goes South'. (115.824 m) || [(Voluntarily)] Entire song 'Boston Begnine'. (83.2152 m)","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Trailer of “New Faces”","English","Colour","35 mm","Edward L. Alperson, U.S.A.","10011","22-1-57","U","","","","","Shots in which Eartha Kitt in a striptease act removes her dress. (6.096 m) || The entire sequence of the Turkish song-dance of Eartha Kitt including the shots in which Eartha shows her Secretary and closes the curtain on herself. (7.3152 m) || Shots in which Lizzie Borden wearing red stockings exhibits her underwear while dancing. (3.6576 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Yahoodi Ki Ladhi","Hindi","","35 mm","New Oriental Pictures, India","19032","24-1-07","U","","","","","[Red I] Shots where a Jew is pierced with lances in the court of Pharaoh and blood oozes out of his wounds and pools upon the ground. (2.7432 m) || [Red IV] The dialogue 'Mujsam aag bn'. (6.9996 m) || [Red IV, V] The words 'Bhangi' and 'Bhangin' wherever used. (0 m) || [Red IX] The following dialogue of the Sipah Salar: 'Yahoodi ke hag mo abbi tak also phool maujood ha in'. (2.1336 m) || ZiUl YahoodJu'. (0.9144 m)","[Bodiun] To a flash the scene of the leper. (retained: 2.4384 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Zala Gala Visaroon Ja","Marathi","","35 mm","Azad Chitra, India","19033","24-1-07","U","","","","","","[Red 7] From the dialogue of Maya to Ramdas the words 'Pan flarvasvnch tula dilyavar Int&Iohe rahilay kay?'. (1.95072 m) || [Red IX] From Maya's dialogue the words 'Ohambharaohya Do vain Khntaraohl Pooja Pahlje' and also Ramosh’s reference to 'Ohambharaolia Dev'. (4.7547 m) || [Bad XII] The words 'Anubhav a&he wntala' said by Maya to I'amceh with reference to Shanta. (0.9144 m) || The words from Maya’s dialogue 'Promacha mi Bazaar mandla ahe ani duiari kade udoon jav'. (9.2025 m) || [Bed XIV] Shots at the end of the film, in which Ramesh is seen on the bed. (retained: 7.8333 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Krishna Sudama","Hindi","","35 mm","TasvlTistan, India","19046","24-1-87","U","","","","","[Red II] Shots where Ashram boys are shown fowling Sudama and doubtfully leading him to sucking udder of the cow. (57.912 m) || [Red II] The sequence where Ashram boys are shown by the bank of the stream torturing Sudama by forcing him to dip again and again in icy-cold water and by burning his dhoti. (18.288 m) || [Red XI] Sequence where Sudama is insulted at the gate of Krishna's palace by the 'dwarpala' and is pushed and thrown on the floor. (12.4968 m) || [Red XII] The following dialogue of Krishna: 'Mnjhe apno kiye hue pap on B e mulct hone do, Inohathone apne mama ka rakt bay*h» lha. Tuhon ek brahmin ke eharan dhone so upuc pap dhone do'. (7.3152 m)","[Red VII] To a flash the shot where blood-smeared hand of Sudama is shown. (retained: 0.51816 m) || [Red VII] To two strokes the lashing of Sudama’s bare and prostrate body. (retained: 0.6096 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Metro News Volume 706","English","","35 mm","Metro Goldwyn Mayer, U.S.A.","19047","24-1-57","U","","","","","Commentary and accompanying shots under the heading: 'Vietnamese Refugees in Saigon'. 'At a reception center, the refugees report that in Nghe-an and other North Vietnamese Provinces, demands for human rights were answered by massacre. The escapees are given food, money and shelter help them to a fresh start.. Their cherished dream, freedom, has become a reality'. (1.8288 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Mehfll","Hindi","","35 mm","M. Masud, India","19048","28-1-87","U","","","","","[Red I, XII] All references visual or sound to the sacrifice of six or more girls at the altar of the satanic evil spirit. (35.3568 m) || [Red XIV] Close shots of Randhir while giving hard blows to the old man (Malati’s father). (0.6096 m)","","","[In the sequence in which Retro comes and falls at the gate of Seth Jankidas’s bungalow] Close shots of Shyam when he lifts Renu up. (6.096 m)","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Burdidi","Bengali","","35 mm","Sarat Bani Chitra Private Ltd., India","12807","23-RS7","U","","","","","[(1)] Voluntary deletion of a fire scene. (9.144 m) || [(3) In reel No. 13] Delete the remarks by Bhattacharya in regard to the Zaniindar, Huron Roy that no beautiful woman could escape his ulutohoa, from the words 'Tat© to aab to. . .Eijanbe'. (5.1816 m)","[(1)] Reduce the scenes of drunkenness to the minimum required for continuity. (retained: 5.4864 m) || [(2) In reel No. 12] Reduce the whole sequence of the song and dance by the ‘BuII debiting the close ups of the dancer making indecent gestures and the pi ot urination and dialogue depicting the lewd reactions of Suron’s friend to the dance. (retained: 54.864 m)","[(4) In reel No. 1] Add a tablet showing that the story relates to a period over 80 to 40 years ago. (1.8288 m) || [(5) In reel No. 10] Voluntary addition of a commentary with title regarding the lapse of time 6 years. (14.6304 m) || [(6) In reel No. 70] Voluntary addition of a scene in the boat that Bardidl is offering necklace to the boatman to reach Huron at his house at Laltagaon on the very night. (45.72 m)","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Swayamprabha","Tolugu","","35 mm","Solvakoti Pictures, Madras","16369","26th January 1957","U","","","","","[1] Delete the entire picture and dialogue of Premaveer visiting the prow ti Lute's house. (There is no objection to the portion where Jaganna leads him in and tells Kamukshi about the prince). (66.4464 m) || [2] Delete the entire picture and dialogue of Premaveer in the prow ti Lute's house, his taking fright and jumping out on the mention of the king, the king’s arrival and being received. (0 m) || [3] When the minister informs Chandrakanta about the arrival of the visitor, namely, Prabhavati, delete the dialogue of his asking whether it is a woman and how old she is, and the reply that she was about 20 years old and the further statement 'I shall without fail receive her'. (0 m) || [4] When Chandrakanta enters Prabhavati's residence, delete the maids asking for payment, his question 'Is this usual fee required by you also?', giving them a ring and entering. (0 m) || [5] When Premaveer is received in the prostitute’s house, delete the question 'Is anybody else likely to come?' and the reply 'Who else is there? — either it should be the Maharajah or yourself'. (3.3528 m) || [6] After Swayamprabha discloses to Ghandrakanta that she is his wife, delete the rest of the sequence showing his pushing her down, her weeping and pleading, her being dragged out and down, the maids, the minister and others being pushed aside and her being dragged away. (39.624 m) || [7] When, Chitrangi asks Chandrakanta to forget his wife, delete her statement that it was her family art to bring joy to saddened minds. (0 m) || [8] In the cell, delete the entire picture and sound of Chandrakanta pushing down and whipping Swayampraba, including the sounds off screen. (No objection to the portion up to the reference to the daily punishment; there after the next picture will show Chandrakanta coming out). (8.2296 m) || [9] After Vijayasimha tells Swayamprabha that womankind is always like that, delete his statement 'For the pleasure of the husband, the wife will even go and be the servant of the prostitute'. (0 m) || [10] When Chandrakanta knocks on Chitrangi's door, delete the picture and dialogue showing Chitrangi and Premaveer seated on the bed and converging, and her sending him off. (Note — There is no objection to Premaveer and Kamakshi being given instructions by Chitrangi later). (0 m) || [11] Delete the entire picture and dialogue of Swayampraba being molested by the robber. (Note — There is no objection to the sequence up to Swayampraba first asking the robber and his laughter in reply and a brief insert, of taking child, for continuity. The next picture will show Swayampraba running out). (53.6448 m) || [13] After Kamakshi, Jaganna and Chitrangi have gone on inhaling the smoke and the wanyaeis enter, delete the rest of that sequence showing them removing the jewels and silver vessels, gagging the women and running out. (15.5448 m) || [14] When Jaganna is lamenting to Premaveer about the looting, delete the reference to the property having been earned by great effort, and the comment that it was exactly by bodily effort. (9.144 m) || [18 (a)] After the cobra is killed by Raja, and before he fights with the bhuta, delete the three close-up inserts of the bhuta’s face; and (b) delete the close-up of Raja on the upper portions of the bhuta’s body engaged in the final fight before the bhuta is killed, including the sounds. (Note — There is no objection to brief flash for continuity without sounds, and to the long-shot showing the full body lying down dead). (6.096 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Swayamprabha","Telugu","","35 mm","Solvakoti Pictures, Madras","10370","26-1-67","U","","","","","[1] When Sanyasi inspects the contents of the portfolio stolen by Dodi, delete the sentence 'Atleast the wages should be available'. (0 m) || [8] When Kumar is hit on the head by Sanyasi from behind, delete the sound of his screaming. (No objection to low level sound). (0 m) || [9] During the interrogation of Situ. in the Police Station, delete all comedy by the policemen and the exposure of the policemen, and the policemen shouting at her and the words (with the accompanying gestures each time), 'shut up', 'that's good', 'damn it', 'pilla', 'stand up' and the final gesture by the policemen when Situ. goes. (0 m) || [11] Delete the picture and dialogue of Kamal a being molested by Suraiya, his closing the door and laughing, bolting the door, whispering threateningly, catching her and the tussle, her biting him and his falling and her throwing things at him. (No objection to her slapping him at first, and when at the end she throws the pot of flour on his head- The rest are to be deleted). (0 m) || [12] When the man is searching his house and smashing the pots for money to buy illicit liquor, (a) delete the picture and dialogue of his taking away the talgir from his wife, her screaming and his shouting and pushing her; (b) Delete the picture and dialogue of his coming in drunk, trampling on the sleeping child and falling on his wife, including the sounds of shouting. (No objection from when Saroja says 'Agu. P'). (0 m) || [13] When Saroja is shown tied up, delete the picture and sound of Garama offering her water twice, then smashing the pot and laughing. (0 m) || [19] When Saroja is shown reading the 'Andhraprabha', delete her words 'Dush prachura'. (0 m)","[5] During song No. 3, delete the picture of temple tower and worshippers at the entrance, against last two lines of the song. (retained: 10.3632 m) || [5] When Pullia’s wife dies, reduce to half the present length, the lamentation by him, his shouting and laughing madly and knocking his head on the pillar. (0 m) || [20] Reduce to half the present length, the fight between Sanyasi and Ramesh. (0 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Swayamprabha","Telugu","","35 mm","Solvakoti Pictures, Madras","10309","25-1-57","U","","","","","","","[Reel No. 1] Addition of emblem and credit titles. (60.96 m)","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Gun For A Coward","English","Colour","Cinemascope","Universal International Films Inc., U.S.A.","19064","28-1-07","U","","","","","","[Reel XI] Considerably the scenes of close combat between the brothers Will and Blew, particularly deleting close shots of direct punches. (retained: 11.2776 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Sheeh Noag","Hindi","","35 mm","Ajit Pictures, India","19066","28-1-57","U","","","","","[Red I] Shots in which two women, supposed to represent Swargalaxmi and Parithivi, are dragged by the hair by Indrajit in the court of Ravana and thrown at his feet. (4.572 m) || [Reel V] Shot of Brahma ordering Sarenwall to go and settle on Mantbara’s tongue. (14.3256 m) || [Reel VII] Words of Rishi paying to Rama 'Rishi Muniyon ko va kaeholm hi i-Lmha jaate ham' with reference to Ravana's people. (3.3528 m) || [Reel VIII] From dialogue of Messenger to Rama, the passage 'Jinko Rishi achhnt sazriajto the' with reference to Kirata, Bhilla etc. (1.8288 m) || [Reel IX] From India's dialogue to Narada words '(Aap kab juto mart© hain'. (0.9144 m) || [Reel IX] From Song No. 6 the word 'Dravid' from 'Dravid desh ke samrat'. (1.2192 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Run for The Sun","English","Colour","SuperScope","Rust-FloM Corporation, U.S.A.","19067","29-1-07","U","","","","","","[Red X] The scene of brutal fighting between Mike and the black hound. (retained: 9.144 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Bannri Bala","Hindi","Partly Coloured","35 mm","Desai Productions, India","19068","29-1-57","U","","","","","[Ref V] From the dialogue of Madankumar’s attendant the words 'That pat ghungliat klmlkar RAjknmiu Ito apna umira roop dikha do' addressed to the dancing girl. (4.8768 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Behave Yourself","English","","35 mm","RKO Radio Pictures, U.S.A.","19116","29-1-67","U","","","","","[Red No. 2] Delete the scene showing Bill taking his wife up the stairs into his bed-room. (30 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"The Cardboard Cavalier","English","","35 mm","J. Arthur Rank Organisation, U.K.","19142","1-2-1957","U","","","","","Delete the taking of the toast by Col. Lovelace. (0 m) || Delete the reference in the tavern scene to Ale being served. (0 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Santiago","English","Colour","Warnerscope","Warner Bros. Pictures Inc., U.S.A.","19220","2-2-57","U","","","","","[Reel No. 10] One out of two close ups of the boy with blood trickling out of his mouth. (0.762 m)","[Reel No. 10] To a flash a soldier being drowned and strangulated. (retained: 6.5532 m) || [Reel No. 11] The last fight in the jungle. (retained: 14.0208 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Trailer of “Santiago""","English","Colour","Warnerscope","Warner Bros. Pictures Inc., U.S.A.","19221","2-2-57","U","","","","","","The fight in the jungle. (retained: 0.88392 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Outside The Law","English","","35 mm","Universal-International Films Inc., U.S.A.","19223","2-2-57","U","","","","","","[Red 7] The beating up of Johnny Salvo in his hotel room, omitting the blows when he is held by another and a very low punch in the stomach. (retained: 7.0104 m)","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Patit Pawan","Hindi","","35 mm","D. K. Films, Motion Pictures Producers, India","14795","6th December 1955","U","","","","","[Red I] Tableau. (3.048 m) || [Red I /f] Namdev and party committing dacoity (Mixes). (15.5448 m) || [Red /7] The Sardar giving the necklace to Neelambari saying 'Namdev terrelie hoar laaya' Namdev giving money to Rajai in the temple, the doha. (62.484 m) || [Red V] Neelambari going to Namdev in the cave. Namdev and party bluffing Mukhi in the guise of Sadhus from the mountain to Mukhia’s house. (46.6344 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Dwarikodfieesh","Hindi","","35 mm","Bhagyodaya Pictures, India","18003","26-12-56","U","","","","","Shot of mother's dead body. (1.2192 m) || Flame suggestive funeral pyre. (1.524 m) || Shot of burnt out pyre. (1.8288 m) || Close-up of the cobra at the end of the song. (1.2192 m)","","","[Reel F///] Shots of Kalindi singing without serpent crawling over her body replaced in place of deleted shots of Kalindi with serpent crawling over her body and close shots of serpents in the song. (8.5344 m) || [Red XI] Shots of singer and instructions of spectators replaced in place of deleted shots of funeral procession and funeral pyre. (41.148 m)","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Bhowani Junction","English","Colour","Cinemascope","Metro Goldwyn Mayer, U.S.A.","18035","11-12-56","U","","","","","[Reel VI] Ranjit lighting Victoria’s cigarette. (5.4864 m) || [Reel VIII] Ranjit lighting Victoria's cigarette. (7.3152 m) || [Reel VIII] Ranjit offering Victoria the holy book of the Sikhs. (5.4864 m) || [Reel IX] Sikh priest and other Sikhs chanting hymns in the Gurudwara. (0.6096 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Jagte Ruho","Hindi","","35 mm","RanbirRaj Kapoor, India","17579","5-9-60","U","","","","","[Reel No. /A] The shot showing Sardar sharpening his b*jpun. (1.0668 m)","","","","in.gazette.1957.348","1957-03-30T00:00:00Z","https://archive.org/details/in.gazette.1957.348"
"Circus Carnival","German, English","","","The United Pioneer Films (Private) Ltd., Aidm Bldg., Dhobi Talao, Bombay 2.","20574","27-5-57","U","","","","","[I] The fake reptile tickling the upper part of the lady performer's body (2.13 m) || [VII] Views of Margarita scantily dressed where her physique is indecently exposed (5.18 m)","[I] Views of dancer Margarita when she makes indecent movements or when she appears scantily and indecently clothed (27.43 m) (retained: 0 m) || [II] The Professor helping Margarita to put on stockings, particularly deleting the low-angle shot of Margarita (3.05 m) || [VIII] Considerably the indecent dance of the beauty dressed dancer and of her companions (117.35 m) (retained: 0 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Trailer of ""Circus Carnival""","German, English","","","The United Pioneer Films (Private) Ltd., Aidm Bldg., Dhobi Talao, Bombay 2.","20575","27-5-57","U","","","","","[I] Views of Margarita scantily dressed where her physique is indecently exposed (21.03 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Miss India","Hindi","","","Rawal Films, 31H, Naaz Bldg., Lamington Road, Bombay 4.","20579","27-5-57","U","","","","","","[VI] Shots of dancers in horizontal positions and also the shot where Anil holds a reclining girl passionately in his arms during the dance (24.38 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Rumble On The Docks","English","","","Columbia Films of India Ltd., Lotus House, 33A, Marine Lines, Bombay 1.","20589","28-5-57","U","","","","","[I] The scenes in which two 'stompers' try to criminaly assault Della in the godown, retaining only a flash from the last shot for continuity (4.27 m)","[V] 3 shots in which the small boy is subjected to torture and abuse by the two stompers, retaining only the first and last shot for continuity (9.14 m) || [II] Considerably the acquirement of free light between the rival gangs in the dance hall (3.35 m) || [IV] Considerably the scene of free light on dockside (7.01 m) || [P] To the minimum the street fight between the rival gangs (2.44 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Bandido","English","","Cinemascope","","","","","","2499.34","7.62","2468.92","The following dialogues: 'You won’t be satisfied with this' and 'You are right, but it’s a start' (2.74 m) || The following dialogues: 'You know what they do with runaway slaves, don’t you?' and 'No, but I’m sure you’ll teach me' (2.13 m)","Scene of Wilson and Lisa lying on the beach and making love (3.66 m) (retained: 0.91 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Trailer of ""Bandido""","English","","Cinemascope","","","","","","","","","The following dialogues: 'You won’t be satisfied with this' and 'You are right, but it’s a start' (1.52 m) || The following dialogues: 'You know what we do with runaway slaves, don’t you?' and 'No, but I’m sure you will teach me' (1.83 m)","Scene of Wilson and Lisa lying on the beach and making love (1.83 m) (retained: 0.91 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Tujposhi","Hindi","","","Tejnath Zar, Shri Sound Studio, Dadar, Bombay.","20592","29-5-57","U","","","","","[V] Shots where the shoulder of the dancer is prominently displayed (3.84 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
